,gcmtid,depth,process_flag,p_z,p_r,s_z,s_r,s_t,surf_z,surf_r,surf_z_mt,surf_r_mt,p_all,sv_all,sh_all,ray_all,theall
45,200712251404A,d-15,preprocessed_10s_to_120s,1.3972688962455096e-05,1.5172591360266016e-05,5.247347842054352e-05,4.155845358071732e-05,5.2646672900135356e-05,2.766247404553756e-05,2.0379161181348063e-05,0.7838957561071609,0.7348049332666696,1.4572640161360555e-05,4.701596600063042e-05,5.2646672900135356e-05,2.402081761344281e-05,3.456402416889228e-05
46,200712251404A,d-15,preprocessed_20s_to_120s,9.887742056225771e-06,1.2065124798747585e-05,3.2014219385582755e-05,3.066465206481079e-05,3.620178162403069e-05,9.66951743378753e-06,8.581981777922899e-06,0.2979132212046691,0.4244763318548633,1.0976433427486679e-05,3.1339435725196774e-05,3.620178162403069e-05,9.125749605855214e-06,2.191085009564234e-05
47,200712251404A,d-15,preprocessed_40s_to_120s,4.312144966415722e-06,6.450183322442213e-06,8.33062879067416e-06,1.3192245880522348e-05,1.8285982583487832e-05,1.430043247577962e-06,1.649300161308673e-06,0.28208161646006075,0.3530676555638717,5.381164144428967e-06,1.0761437335598255e-05,1.8285982583487832e-05,1.5396717044433177e-06,8.992063941989593e-06
48,200712251404A,d-5,preprocessed_10s_to_120s,1.2533829356342927e-05,1.4376937035356259e-05,5.1404511438950257e-05,4.394032753629772e-05,5.1846902080136776e-05,2.1476793609800887e-05,1.6376624575072478e-05,0.7273310801277232,0.6696038980114593,1.3455383195849593e-05,4.7672419487623986e-05,5.1846902080136776e-05,1.8926709092436683e-05,3.297535346401176e-05
49,200712251404A,d-5,preprocessed_20s_to_120s,8.813908014658604e-06,1.1448131706308096e-05,3.5215038929736646e-05,3.150421395233549e-05,3.4476000528542115e-05,1.1547729976240096e-05,9.61661647359364e-06,0.31152859212204825,0.38286785916589106,1.013101986048335e-05,3.3359626441036065e-05,3.4476000528542115e-05,1.0582173224916868e-05,2.2137205013744596e-05
50,200712251404A,d-5,preprocessed_40s_to_120s,3.1505088253490617e-06,6.11914058364637e-06,1.0460943690185349e-05,1.48540992595685e-05,1.8495998965899556e-05,1.7960326476028435e-06,2.7852667069492613e-06,0.3440630811932849,0.44832984920839025,4.634824704497716e-06,1.2657521474876924e-05,1.8495998965899556e-05,2.2906496772760525e-06,9.519748705637562e-06
51,200712251404A,d0,preprocessed_10s_to_120s,1.2149833401135522e-05,1.4338598547699359e-05,5.04349997140951e-05,4.363721811715321e-05,5.098430192137532e-05,1.810190389339997e-05,1.4188157983101121e-05,0.6513485440440075,0.5973736890518593,1.3244215974417441e-05,4.7036108915624154e-05,5.098430192137532e-05,1.6145030938250546e-05,3.1852414437416865e-05
52,200712251404A,d0,preprocessed_20s_to_120s,8.161476845071226e-06,1.1299658491426874e-05,3.4318278959659414e-05,3.0448468916586482e-05,3.331489151336e-05,1.1010498014583294e-05,9.31074615716938e-06,0.33086105164698293,0.3910678227996693,9.73056766824905e-06,3.238337393812295e-05,3.331489151336e-05,1.0160622085876336e-05,2.1397363801402085e-05
53,200712251404A,d0,preprocessed_40s_to_120s,3.2190338021971863e-06,6.15401535949633e-06,1.243473040519172e-05,1.5169603574623295e-05,1.834815788264409e-05,2.2496647210639426e-06,3.177103586193839e-06,0.4101156596688519,0.4845850080956299,4.686524580846758e-06,1.3802166989907509e-05,1.834815788264409e-05,2.7133841536288908e-06,9.88755840175681e-06
54,200712251404A,d10,preprocessed_10s_to_120s,1.281805580100588e-05,1.4949690476644473e-05,5.025798212336347e-05,4.644028152949639e-05,4.274884137610242e-05,1.313638064156518e-05,1.1403947231674302e-05,0.4680182342698804,0.4776453696851783,1.3883873138825177e-05,4.834913182642993e-05,4.274884137610242e-05,1.2270163936619741e-05,2.9313002569494316e-05
55,200712251404A,d10,preprocessed_20s_to_120s,8.065314353453065e-06,1.1495131864236247e-05,3.173062522335534e-05,2.905335752593608e-05,3.255776497358839e-05,9.468402060193808e-06,8.484156807745142e-06,0.34864018133011665,0.39947364585658995,9.780223108844657e-06,3.0391991374645707e-05,3.255776497358839e-05,8.976279433969475e-06,2.0426564722762057e-05
56,200712251404A,d10,preprocessed_40s_to_120s,3.824731634137799e-06,6.268219885820836e-06,1.5519204055767802e-05,1.6274614973265173e-05,1.892622005444331e-05,2.893211390825071e-06,2.612437607016769e-06,0.5054464854393425,0.4307971884455021,5.046475759979317e-06,1.5896909514516487e-05,1.892622005444331e-05,2.7528244989209203e-06,1.065560745696501e-05
57,200712251404A,d15,preprocessed_10s_to_120s,1.3405938227010365e-05,1.5285084345718744e-05,4.8546334266999794e-05,4.714639963054057e-05,4.2633817123880843e-05,1.180005619291253e-05,1.0641330664260654e-05,0.40961351971103405,0.43162391454727667,1.4345511286364553e-05,4.7846366948770187e-05,4.2633817123880843e-05,1.1220693428586593e-05,2.9011597196900544e-05
