gcmtid,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
200908122248A,18.12252872215708,12.041349472450175,19.872489449003496,15458.51699999999,10271.2711,16951.23349999998,853
200908170005A,18.38878965517241,12.870492152199757,20.97330737217595,15464.972099999995,10824.083899999996,17638.551499999972,841
200908171011A,20.72957809057526,16.886976254589964,24.841544430844557,16936.065299999987,13796.6596,20295.541800000003,817
200908221318A,2.797067624309396,1.6869238674033153,,2531.346200000003,1526.6661000000004,,905
200908240526A,3.351032601536772,1.3609669593852924,,3052.790699999999,1239.8409000000015,,911
200908262220A,3.3142388026607543,1.9940273835920197,,2989.4434000000006,1798.6127000000017,,902
200908280152A,17.66808957845433,13.021418501170999,19.516189461358287,15088.548499999999,11120.291400000033,16666.825799999977,854
200909031326A,8.842426564344745,2.1876775678866593,inf,7489.5353,1852.9629000000004,inf,847
200909031951A,8.309903125000003,3.258816826923074,12.066749278846162,6913.839400000003,2711.3355999999976,10039.535400000006,832
200909112057A,2.25951276276276,1.7900351351351358,3.780399249249245,1504.835499999998,1192.1634000000004,2517.745899999997,666
200909180624A,14.82159551630433,13.16331480978261,21.9541823369565,10908.694299999986,9688.199700000001,16158.278199999984,736
200909181153A,9.515265229110515,9.700418463611856,15.523725876010765,7060.326800000002,7197.7104999999965,11518.604599999988,742
200909190854A,5.225594909090908,3.5945893333333307,9.870689454545456,4311.1158,2965.5361999999977,8143.318800000002,825
200909210853A,14.074613727810664,10.496349467455628,19.024226627218933,11893.048600000011,8869.415300000006,16075.471499999998,845
200909211938A,8.113193424317622,5.709475930521087,12.873569230769252,6539.233900000003,4601.837599999996,10376.096800000018,806
200909222259A,3.1600524822695046,0.7636851063829789,4.499292765957451,2227.837000000001,538.3980000000001,3172.001400000003,705
200909281922A,14.526881578947343,14.784116902833993,,14352.558999999976,14606.707499999986,,988
200910031536A,5.718647286821703,5.516745581395349,10.35525007751939,3688.5274999999983,3558.3009,6679.1363000000065,645
200910031736A,15.095021770833354,11.211228125000002,22.289677187500036,14491.22090000002,10762.779000000002,21398.090100000034,960
200910041058A,10.459238499384997,4.444866543665434,9.478209963099632,8503.360900000001,3613.6764999999978,7705.7847,813
200910100842A,1.7632560934891481,0.4120108514190317,3.2842083472454076,1056.1903999999997,246.7945,1967.2407999999991,599
200910131015A,6.735444578313257,4.752324819277109,13.99459108433737,5590.4190000000035,3944.4296000000004,11615.510600000018,830
200910182350A,4.69135229357798,2.7403506116207956,8.341698929663613,3068.1443999999988,1792.1893000000002,5455.4711000000025,654
200910232000B,4.5928405405405455,4.2200277027027076,10.379069305019296,4758.182800000005,4371.948700000005,10752.71579999999,1036
200910250617A,4.026798617511527,2.345921044546854,9.407168202764984,2621.445900000004,1527.1946000000019,6124.066500000004,651
