,gcmtid,depth,process_flag,p_z,p_r,s_z,s_r,s_t,surf_z,surf_r,surf_z_mt,surf_r_mt,p_all,sv_all,sh_all,ray_all,theall
25,200710061238A,d-15,preprocessed_20s_to_120s,5.646462165530209e-06,7.586852311212404e-06,1.9550585329149083e-05,3.353567039100911e-05,6.981432912001577e-05,7.397774682852687e-06,6.512266456647175e-06,0.3583432453225409,0.4854385606447171,6.616657238371307e-06,2.6543127860079095e-05,6.981432912001577e-05,6.955020569749931e-06,2.7482283697054024e-05
26,200710061238A,d-15,preprocessed_40s_to_120s,2.1637189497150755e-06,3.318703045540234e-06,7.46380429553006e-06,1.2214974131921722e-05,1.979574060596982e-05,1.3372152179293583e-06,1.726922159129365e-06,0.3549544232877056,0.470330935001279,2.741210997627655e-06,9.83938921372589e-06,1.979574060596982e-05,1.5320686885293617e-06,8.477102376463183e-06
27,200710061238A,d-5,preprocessed_10s_to_120s,1.1937135461995299e-05,1.159541253704123e-05,2.712684227705177e-05,4.516999848799536e-05,9.427242136522187e-05,1.5062966588972505e-05,1.1582320707907525e-05,0.99767252876939,0.9245218309850285,1.1766273999518264e-05,3.6148420382523564e-05,9.427242136522187e-05,1.3322643648440016e-05,3.887743984892593e-05
28,200710061238A,d-5,preprocessed_20s_to_120s,5.619716503769229e-06,7.702246303673088e-06,1.9785639877314882e-05,3.179720646464768e-05,6.20835918081885e-05,7.494422689803309e-06,6.740682802951901e-06,0.36068401266205213,0.48293107673230257,6.660981403721159e-06,2.579142317098128e-05,6.20835918081885e-05,7.117552746377605e-06,2.5413387282317136e-05
29,200710061238A,d-5,preprocessed_40s_to_120s,2.3340959962214116e-06,3.351937620017495e-06,6.9020228083291315e-06,1.2364743968843894e-05,1.8365249346486114e-05,1.4349506776917692e-06,1.7632990331673044e-06,0.37583188293501457,0.4608222903716418,2.8430168081194534e-06,9.633383388586514e-06,1.8365249346486114e-05,1.5991248554295369e-06,8.110193599655406e-06
30,200710061238A,d0,preprocessed_10s_to_120s,1.1628811992302423e-05,1.178060010554112e-05,2.7478549354572317e-05,4.114358489476458e-05,8.634751237702196e-05,1.3511669281414025e-05,1.0273973051573063e-05,0.9411187270338605,0.8630174686069115,1.1704706048921772e-05,3.431106712466845e-05,8.634751237702196e-05,1.1892821166493545e-05,3.6064026679276436e-05
31,200710061238A,d0,preprocessed_20s_to_120s,5.535436917633167e-06,7.755330629642777e-06,1.9596352049924914e-05,3.0965904726545945e-05,5.811882677720432e-05,7.822343630305048e-06,6.399171255126904e-06,0.4321245843217845,0.4725121212984843,6.645383773637972e-06,2.528112838823543e-05,5.811882677720432e-05,7.110757442715977e-06,2.4289024095448426e-05
32,200710061238A,d0,preprocessed_40s_to_120s,2.3628377546901167e-06,3.5014173957415275e-06,7.30029993056075e-06,1.2571060342239234e-05,1.7532429499090743e-05,1.4577705807525763e-06,1.776997672419915e-06,0.39042062209229667,0.46109753038992807,2.9321275752158223e-06,9.935680136399991e-06,1.7532429499090743e-05,1.6173841265862457e-06,8.0044053343232e-06
33,200710061238A,d10,preprocessed_10s_to_120s,1.1367726644334467e-05,1.1623254662851181e-05,2.768170767619034e-05,3.842239268196843e-05,7.58183214562736e-05,1.0798320405415453e-05,8.710191156443867e-06,0.8156001873742624,0.7594668620875316,1.1495490653592824e-05,3.3052050179079385e-05,7.58183214562736e-05,9.75425578092966e-06,3.253002951746887e-05
34,200710061238A,d10,preprocessed_20s_to_120s,5.489268184659654e-06,7.884198238689271e-06,1.935312210419213e-05,2.8700610458459817e-05,5.17399582189376e-05,7.4397561242501974e-06,6.085582674868082e-06,0.44556297477516166,0.4810366230931064,6.686733211674462e-06,2.4026866281325973e-05,5.17399582189376e-05,6.76266939955914e-06,2.2304056777874295e-05
35,200710061238A,d10,preprocessed_40s_to_120s,2.578297389068004e-06,3.861623117300718e-06,8.676321858487688e-06,1.3140679510861261e-05,1.6535898794025896e-05,1.5851047395677895e-06,1.8531884387944732e-06,0.39438161097773244,0.4716203776611373,3.219960253184361e-06,1.0908500684674474e-05,1.6535898794025896e-05,1.7191465891811313e-06,8.095876580266466e-06
36,200710061238A,d15,preprocessed_10s_to_120s,1.1953410209908155e-05,1.174220385530817e-05,2.857271359872947e-05,3.875012148470108e-05,7.280565336533847e-05,1.0035501795822855e-05,8.02007925472914e-06,0.7602000874832996,0.7130888383663648,1.1847807032608162e-05,3.3661417541715275e-05,7.280565336533847e-05,9.027790525275998e-06,3.1835667116234476e-05
37,200710061238A,d15,preprocessed_20s_to_120s,5.58443441255823e-06,8.038685628027934e-06,1.960492852683183e-05,2.760110649887971e-05,4.93617624140471e-05,7.2535926898412625e-06,5.959481295988744e-06,0.4511324809383593,0.48373724778477306,6.811560020293081e-06,2.360301751285577e-05,4.93617624140471e-05,6.606536992915003e-06,2.159571923502774e-05
38,200710061238A,d15,preprocessed_40s_to_120s,2.786360946069781e-06,3.950653018903628e-06,9.201031833169265e-06,1.3289583696250409e-05,1.637261258627107e-05,1.6270783296642696e-06,1.896144791920323e-06,0.40231733148553617,0.4807906651219012,3.3685069824867044e-06,1.1245307764709837e-05,1.637261258627107e-05,1.7616115607922962e-06,8.187009723564976e-06
39,200710061238A,d5,preprocessed_10s_to_120s,1.1309553233223957e-05,1.166979049320441e-05,2.7343210649926625e-05,3.912178917003907e-05,8.038346382435314e-05,1.2081162547467955e-05,9.396722746798561e-06,0.8865922610181113,0.8132947238672984,1.1489671863214184e-05,3.3232499909982845e-05,8.038346382435314e-05,1.0738942647133258e-05,3.396114456117086e-05
40,200710061238A,d5,preprocessed_20s_to_120s,5.496450659482843e-06,7.854969179558564e-06,1.9500146923449677e-05,2.982603210951016e-05,5.486999675581401e-05,7.535766129727534e-06,6.231765770572939e-06,0.4379825900940638,0.476149927265534,6.675709919520704e-06,2.466308951647992e-05,5.486999675581401e-05,6.883765950150236e-06,2.3273140535491216e-05
