time,latitude,longitude,depth,depthUnits,magnitude,magnitudeType,magnitudeContributor,catalog,contributor,name,flinnEngdahlRegion,flinnEngdahlRegionType
2011-05-21T13:08:02.570000Z,17.31,121.91,13020.0,METER,5.14,mw,,,,"LUZON, PHILIPPINES",0,1
2011-05-22T16:42:23.350000Z,13.67,120.68,127700.0,METER,5.67,mw,,,,"MINDORO, PHILIPPINES",0,1
2011-05-25T10:02:53.400000Z,49.18,147.52,568690.0,METER,5.31,mw,,,,SEA OF OKHOTSK,0,1
2011-06-01T23:34:15.200000Z,27.12,140.6,476640.0,METER,5.22,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2011-06-22T21:50:57.210000Z,39.99,142.51,41350.0,METER,6.73,mw,,,,"NEAR EAST COAST OF HONSHU, JAPAN",0,1
2011-06-24T17:23:44.550000Z,6.67,123.4,598220.0,METER,5.34,mw,,,,"MINDANAO, PHILIPPINES",0,1
2011-07-13T07:19:42.900000Z,25.01,123.74,126820.0,METER,5.22,mw,,,,NORTHEAST OF TAIWAN,0,1
2011-07-15T18:00:27.290000Z,27.1,139.97,476250.0,METER,5.35,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2011-07-16T18:38:51.710000Z,52.93,108.43,24000.0,METER,5.3,mw,,,,"LAKE BAYKAL REGION, RUSSIA",0,1
2011-07-18T18:15:26.750000Z,52.76,152.96,499110.0,METER,5.46,mw,,,,NORTHWEST OF KURIL ISLANDS,0,1
2011-08-01T14:58:14.570000Z,34.65,138.39,19150.0,METER,5.95,mw,,,,"NEAR S. COAST OF HONSHU, JAPAN",0,1
2011-09-19T09:07:24.540000Z,47.9,147.61,402620.0,METER,5.19,mw,,,,NORTHWEST OF KURIL ISLANDS,0,1
2011-10-01T04:21:50.480000Z,7.46,123.46,608560.0,METER,5.31,mw,,,,"MINDANAO, PHILIPPINES",0,1
2011-10-04T01:37:30.770000Z,26.73,140.35,439610.0,METER,5.66,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2011-10-07T02:51:20.490000Z,41.65,142.21,57410.0,METER,5.3,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2011-10-21T08:02:39.010000Z,43.83,142.52,191480.0,METER,6.16,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2011-10-30T03:23:47.090000Z,25.32,122.91,213100.0,METER,5.67,mw,,,,TAIWAN REGION,0,1
2011-11-08T02:59:11.980000Z,27.13,125.77,230600.0,METER,6.92,mw,,,,NORTHEAST OF TAIWAN,0,1
2011-11-21T10:16:31.180000Z,34.86,132.8,16970.0,METER,5.08,mw,,,,"WESTERN HONSHU, JAPAN",0,1
2011-11-24T10:25:37.610000Z,41.79,142.94,43460.0,METER,6.16,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2011-11-28T15:06:49.900000Z,25.09,97.67,17620.0,METER,5.16,mw,,,,MYANMAR-CHINA BORDER REGION,0,1
2011-12-09T19:42:59.140000Z,46.93,144.6,389990.0,METER,5.77,mw,,,,SEA OF OKHOTSK,0,1
2011-12-12T09:28:42.310000Z,50.7,142.97,16400.0,METER,5.13,mw,,,,"SAKHALIN, RUSSIA",0,1
2011-12-30T17:07:24.910000Z,30.87,138.44,414270.0,METER,5.21,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2012-01-01T05:28:01.430000Z,31.61,138.17,351950.0,METER,6.79,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2012-01-24T10:34:19.420000Z,8.56,126.26,201540.0,METER,5.13,mw,,,,"MINDANAO, PHILIPPINES",0,1
2012-01-26T22:04:06.140000Z,21.67,142.62,303110.0,METER,5.26,mw,,,,MARIANA ISLANDS REGION,0,1
2012-01-29T00:06:52.540000Z,5.89,124.57,384710.0,METER,5.36,mw,,,,"MINDANAO, PHILIPPINES",0,1
2012-02-06T10:10:21.590000Z,9.9,123.13,12000.0,METER,6.05,mw,,,,"NEGROS, PHILIPPINES",0,1
2012-02-07T13:30:05.750000Z,45.53,142.18,317840.0,METER,5.24,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2012-02-25T01:12:02.520000Z,19.14,146.07,119210.0,METER,5.14,mw,,,,MARIANA ISLANDS REGION,0,1
2012-02-26T02:35:01.580000Z,22.69,120.7,25000.0,METER,5.93,mw,,,,TAIWAN,0,1
2012-02-26T06:17:24.340000Z,51.69,96.0,20460.0,METER,6.67,mw,,,,"SOUTHWESTERN SIBERIA, RUSSIA",0,1
2012-02-26T11:59:05.840000Z,51.74,96.03,17610.0,METER,5.09,mw,,,,"SOUTHWESTERN SIBERIA, RUSSIA",0,1
2012-02-28T15:07:37.540000Z,28.23,139.31,504110.0,METER,5.55,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2012-03-12T12:32:49.630000Z,45.09,147.87,124940.0,METER,5.59,mw,,,,KURIL ISLANDS,0,1
2012-03-16T18:37:56.840000Z,37.88,133.48,438770.0,METER,5.24,mw,,,,SEA OF JAPAN,0,1
2012-04-18T05:37:57.540000Z,28.75,138.66,493940.0,METER,5.44,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2012-05-03T10:19:37.260000Z,40.66,98.58,17470.0,METER,5.2,mw,,,,"WESTERN NEI MONGOL, CHINA",0,1
2012-05-11T20:34:27.510000Z,30.75,138.47,402900.0,METER,5.23,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2012-05-26T20:00:28.500000Z,27.02,140.19,485230.0,METER,5.27,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2012-06-09T21:00:19.310000Z,24.48,122.2,80990.0,METER,5.88,mw,,,,TAIWAN REGION,0,1
2012-06-24T07:59:35.540000Z,27.72,100.75,12470.0,METER,5.56,mw,,,,"YUNNAN, CHINA",0,1
2012-07-09T07:20:57.760000Z,49.12,147.25,556010.0,METER,5.39,mw,,,,SEA OF OKHOTSK,0,1
2012-07-09T19:25:07.970000Z,29.23,130.31,34360.0,METER,5.58,mw,,,,"RYUKYU ISLANDS, JAPAN",0,1
2012-07-14T19:55:19.100000Z,25.4,94.45,41070.0,METER,5.31,mw,,,,MYANMAR-INDIA BORDER REGION,0,1
2012-07-29T09:20:55.230000Z,47.29,138.9,506930.0,METER,5.71,mw,,,,"PRIMOR'YE, RUSSIA",0,1
2012-08-08T07:11:02.100000Z,25.77,125.06,140600.0,METER,5.41,mw,,,,"SOUTHWESTERN RYUKYU ISL., JAPAN",0,1
2012-08-14T02:59:50.900000Z,49.97,145.7,598200.0,METER,7.72,mw,,,,SEA OF OKHOTSK,0,1
2012-09-03T02:14:44.100000Z,10.35,126.63,15620.0,METER,5.28,mw,,,,PHILIPPINE ISLANDS REGION,0,1
2012-09-07T03:19:44.290000Z,27.47,104.12,12000.0,METER,5.58,mw,,,,"YUNNAN, CHINA",0,1
2012-09-22T09:37:02.430000Z,45.99,141.78,328480.0,METER,5.18,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2012-10-14T09:42:02.290000Z,48.27,154.81,46120.0,METER,5.8,mw,,,,KURIL ISLANDS,0,1
2012-10-23T08:53:40.490000Z,29.07,139.19,443040.0,METER,5.93,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2012-11-02T01:52:08.760000Z,55.74,163.56,22680.0,METER,5.58,mw,,,,OFF EAST COAST OF KAMCHATKA,0,1
2012-11-11T10:54:42.530000Z,22.6,96.05,12000.0,METER,5.88,mw,,,,MYANMAR,0,1
2012-11-12T11:15:11.470000Z,29.79,137.91,506000.0,METER,5.74,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2012-11-26T05:33:51.080000Z,40.62,90.54,23440.0,METER,5.08,mw,,,,"SOUTHERN XINJIANG, CHINA",0,1
2012-12-08T14:26:57.960000Z,25.81,122.2,305690.0,METER,5.2,mw,,,,TAIWAN REGION,0,1
2012-12-22T16:41:46.910000Z,22.29,94.8,142170.0,METER,5.49,mw,,,,MYANMAR,0,1
2012-12-25T17:08:17.640000Z,31.98,137.62,377480.0,METER,5.23,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2013-01-09T01:41:54.680000Z,25.09,94.95,105900.0,METER,5.84,mw,,,,MYANMAR-INDIA BORDER REGION,0,1
2013-01-18T12:42:52.450000Z,30.95,99.55,21190.0,METER,5.58,mw,,,,"SICHUAN, CHINA",0,1
2013-01-22T13:29:25.620000Z,44.45,140.83,248280.0,METER,5.41,mw,,,,EASTERN SEA OF JAPAN,0,1
2013-01-24T07:35:37.300000Z,49.8,87.75,19620.0,METER,5.19,mw,,,,KAZAKHSTAN-XINJIANG BORDER REG.,0,1
2013-02-02T14:17:42.760000Z,42.85,143.24,105350.0,METER,6.93,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2013-02-25T07:23:57.600000Z,36.89,139.39,12830.0,METER,5.8,mw,,,,"EASTERN HONSHU, JAPAN",0,1
2013-03-04T20:56:36.790000Z,50.61,157.71,44290.0,METER,5.33,mw,,,,KURIL ISLANDS,0,1
2013-03-27T01:25:49.320000Z,45.42,142.65,288400.0,METER,5.05,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2013-03-29T05:01:11.530000Z,43.52,86.96,38550.0,METER,5.45,mw,,,,"NORTHERN XINJIANG, CHINA",0,1
2013-04-05T13:00:04.960000Z,42.77,131.02,571870.0,METER,6.27,mw,,,,E. RUSSIA-N.E. CHINA BORDER REG.,0,1
2013-04-06T00:29:57.640000Z,42.82,131.05,575150.0,METER,5.77,mw,,,,E. RUSSIA-N.E. CHINA BORDER REG.,0,1
2013-04-12T20:33:20.720000Z,34.43,134.69,18430.0,METER,5.88,mw,,,,NEAR S. COAST OF WESTERN HONSHU,0,1
2013-04-17T06:43:03.380000Z,24.8,123.09,12000.0,METER,5.34,mw,,,,"SOUTHWESTERN RYUKYU ISL., JAPAN",0,1
2013-04-17T12:03:34.690000Z,38.51,141.7,55900.0,METER,5.93,mw,,,,"NEAR EAST COAST OF HONSHU, JAPAN",0,1
2013-04-20T00:02:53.070000Z,30.22,103.12,21870.0,METER,6.61,mw,,,,"SICHUAN, CHINA",0,1
2013-04-21T03:22:18.620000Z,30.02,138.88,429840.0,METER,6.12,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2013-04-24T06:21:20.220000Z,32.4,139.18,220610.0,METER,5.09,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2013-05-06T13:14:37.590000Z,37.52,143.74,17590.0,METER,5.07,mw,,,,"OFF EAST COAST OF HONSHU, JAPAN",0,1
2013-05-12T23:05:27.390000Z,22.01,143.95,156130.0,METER,5.55,mw,,,,"VOLCANO ISLANDS, JAPAN REGION",0,1
2013-05-14T00:32:29.550000Z,18.67,145.35,604720.0,METER,6.82,mw,,,,MARIANA ISLANDS,0,1
2013-05-19T23:51:33.020000Z,52.15,160.45,28460.0,METER,5.15,mw,,,,OFF EAST COAST OF KAMCHATKA,0,1
2013-05-24T05:45:08.350000Z,54.61,153.77,610950.0,METER,8.33,mw,,,,SEA OF OKHOTSK,0,1
2013-05-24T14:56:34.880000Z,52.36,151.48,642370.0,METER,6.73,mw,,,,SEA OF OKHOTSK,0,1
2013-06-04T11:02:02.040000Z,45.38,151.36,29990.0,METER,5.35,mw,,,,KURIL ISLANDS,0,1
2013-06-18T23:02:09.300000Z,54.28,86.0,12000.0,METER,5.24,mw,,,,"SOUTHWESTERN SIBERIA, RUSSIA",0,1
2013-07-21T23:45:58.650000Z,34.6,104.31,17150.0,METER,5.99,mw,,,,"GANSU, CHINA",0,1
2013-07-28T11:36:02.710000Z,31.08,137.84,463950.0,METER,5.36,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2013-08-04T15:56:36.880000Z,46.97,145.22,378010.0,METER,5.84,mw,,,,SEA OF OKHOTSK,0,1
2013-08-11T21:23:43.120000Z,30.02,97.95,12560.0,METER,5.79,mw,,,,XIZANG,0,1
2013-08-11T23:58:49.290000Z,30.02,97.94,21220.0,METER,5.13,mw,,,,XIZANG,0,1
2013-08-18T22:34:29.930000Z,6.49,124.68,377580.0,METER,5.47,mw,,,,"MINDANAO, PHILIPPINES",0,1
2013-08-27T20:44:54.640000Z,28.14,99.5,12290.0,METER,5.16,mw,,,,"YUNNAN, CHINA",0,1
2013-08-31T23:52:08.890000Z,47.86,148.12,389290.0,METER,5.73,mw,,,,NORTHWEST OF KURIL ISLANDS,0,1
2013-09-02T02:51:16.120000Z,42.19,133.65,454680.0,METER,5.67,mw,,,,"PRIMOR'YE, RUSSIA",0,1
2013-09-04T00:18:28.130000Z,30.02,138.79,412030.0,METER,6.51,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2013-09-06T11:33:56.070000Z,20.24,122.31,187680.0,METER,5.97,mw,,,,PHILIPPINE ISLANDS REGION,0,1
2013-09-19T21:37:03.360000Z,37.73,101.65,19540.0,METER,5.06,mw,,,,"QINGHAI, CHINA",0,1
2013-09-22T19:30:38.310000Z,12.08,143.66,12200.0,METER,5.05,mw,,,,SOUTH OF MARIANA ISLANDS,0,1
2013-10-01T03:38:24.870000Z,53.2,152.81,585520.0,METER,6.72,mw,,,,SEA OF OKHOTSK,0,1
2013-10-06T16:38:13.260000Z,12.14,141.72,115640.0,METER,6.04,mw,,,,SOUTH OF MARIANA ISLANDS,0,1
2013-10-15T08:42:51.950000Z,9.82,123.79,12190.0,METER,5.69,mw,,,,"NEGROS, PHILIPPINES",0,1
2013-10-29T20:17:52.340000Z,43.2,130.86,560320.0,METER,5.3,mw,,,,E. RUSSIA-N.E. CHINA BORDER REG.,0,1
2013-10-31T03:03:36.240000Z,44.75,124.02,12000.0,METER,5.21,mw,,,,NORTHEASTERN CHINA,0,1
2013-11-03T07:02:08.910000Z,35.55,88.13,26490.0,METER,5.07,mw,,,,XIZANG,0,1
2013-11-18T19:10:48.130000Z,34.35,136.86,339930.0,METER,5.69,mw,,,,"WESTERN HONSHU, JAPAN",0,1
2013-11-19T17:00:47.340000Z,18.54,145.18,515230.0,METER,6.01,mw,,,,MARIANA ISLANDS,0,1
2013-11-20T10:09:20.550000Z,12.24,95.2,12000.0,METER,5.63,mw,,,,"ANDAMAN ISLANDS, INDIA REGION",0,1
2013-11-22T22:04:25.990000Z,44.65,124.06,12000.0,METER,5.25,mw,,,,NORTHEASTERN CHINA,0,1
2013-11-23T23:30:46.030000Z,36.75,86.8,17100.0,METER,5.67,mw,,,,"SOUTHERN XINJIANG, CHINA",0,1
2013-11-27T17:45:50.540000Z,42.13,141.52,98940.0,METER,5.07,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2013-12-10T01:27:35.130000Z,23.09,143.06,93650.0,METER,5.09,mw,,,,"VOLCANO ISLANDS, JAPAN REGION",0,1
2013-12-11T16:14:40.190000Z,33.96,89.3,15680.0,METER,5.08,mw,,,,XIZANG,0,1
2013-12-18T12:54:40.780000Z,30.27,138.48,434870.0,METER,5.2,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2013-12-28T19:31:29.000000Z,20.8,146.96,14110.0,METER,5.56,mw,,,,MARIANA ISLANDS REGION,0,1
2015-01-08T18:42:13.320000Z,43.69,145.05,116130.0,METER,5.38,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2015-01-14T12:09:37.570000Z,48.94,141.97,591380.0,METER,5.26,mw,,,,"SAKHALIN, RUSSIA",0,1
2015-01-18T06:41:31.780000Z,56.21,113.75,17050.0,METER,5.05,mw,,,,"EAST OF LAKE BAYKAL, RUSSIA",0,1
2015-01-21T06:51:15.730000Z,17.95,146.86,78470.0,METER,5.11,mw,,,,MARIANA ISLANDS,0,1
2015-01-25T10:41:15.560000Z,29.25,139.25,420750.0,METER,5.26,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2015-01-31T12:29:34.800000Z,15.26,147.34,12000.0,METER,5.64,mw,,,,MARIANA ISLANDS REGION,0,1
2015-02-02T15:13:43.940000Z,14.11,124.65,22840.0,METER,5.54,mw,,,,"LUZON, PHILIPPINES",0,1
2015-02-12T14:33:10.290000Z,23.97,93.93,96450.0,METER,5.06,mw,,,,MYANMAR-INDIA BORDER REGION,0,1
2015-02-19T16:32:51.300000Z,52.85,159.29,97080.0,METER,5.42,mw,,,,OFF EAST COAST OF KAMCHATKA,0,1
2015-02-26T01:11:26.580000Z,38.41,142.0,35890.0,METER,5.11,mw,,,,"NEAR EAST COAST OF HONSHU, JAPAN",0,1
2015-03-01T10:24:43.030000Z,23.49,99.04,18300.0,METER,5.26,mw,,,,MYANMAR-CHINA BORDER REGION,0,1
2015-03-12T07:50:04.520000Z,12.97,145.62,18110.0,METER,5.15,mw,,,,SOUTH OF MARIANA ISLANDS,0,1
2015-04-15T07:39:29.230000Z,39.74,106.39,25600.0,METER,5.47,mw,,,,"WESTERN NEI MONGOL, CHINA",0,1
2015-05-02T16:50:49.720000Z,31.47,139.94,12000.0,METER,5.73,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2015-05-25T06:37:42.870000Z,41.9,135.18,393360.0,METER,5.29,mw,,,,SEA OF JAPAN,0,1
2015-05-30T11:23:11.040000Z,27.94,140.56,680700.0,METER,7.86,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2015-06-08T06:01:14.540000Z,41.49,142.24,54030.0,METER,6.06,mw,,,,"HOKKAIDO, JAPAN REGION",0,1
2015-06-10T08:33:14.430000Z,39.66,143.64,22020.0,METER,5.7,mw,,,,"OFF EAST COAST OF HONSHU, JAPAN",0,1
2015-06-18T08:28:57.870000Z,21.73,143.02,285940.0,METER,5.14,mw,,,,MARIANA ISLANDS REGION,0,1
2015-06-23T12:18:33.410000Z,27.68,139.85,458510.0,METER,6.52,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2015-07-03T06:43:24.370000Z,10.08,126.25,43830.0,METER,6.11,mw,,,,PHILIPPINE ISLANDS REGION,0,1
2015-07-15T22:16:20.090000Z,18.89,145.11,515970.0,METER,5.43,mw,,,,MARIANA ISLANDS,0,1
2015-08-02T13:08:49.560000Z,8.34,123.94,619790.0,METER,5.19,mw,,,,"MINDANAO, PHILIPPINES",0,1
2015-10-16T06:38:28.490000Z,55.67,159.37,283880.0,METER,5.66,mw,,,,"KAMCHATKA PENINSULA, RUSSIA",0,1
2015-10-20T09:29:10.870000Z,27.16,140.19,317730.0,METER,5.7,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2015-11-11T18:18:56.020000Z,48.33,149.11,390950.0,METER,5.27,mw,,,,NORTHWEST OF KURIL ISLANDS,0,1
2015-11-13T12:21:40.920000Z,17.26,147.47,15650.0,METER,5.48,mw,,,,MARIANA ISLANDS REGION,0,1
2015-11-24T13:21:38.040000Z,18.82,145.26,582480.0,METER,5.97,mw,,,,MARIANA ISLANDS,0,1
