201104291312A 121.92 21.24 184.73 5.34 2.2 3206 1031 1912562
201207141955A 94.45 25.4 41.07 5.31 2.2 3197 890 1910194
201510200929A 140.19 27.16 317.73 5.7 3.4 3188 999 1885720
201709291925A 160.22 53.11 56.92 5.31 2.2 3185 990 1996119
201003020251A 122.4647 18.3195 14.6545 5.81 3.8 3175 773 1975620
200803031349A 121.2212 19.9665 22.5853 5.94 4.8 3161 653 2047663
200909181153A 124.6542 6.5449 11.921 5.6 3.4 3135 680 1885152
201006111637A 143.0388 26.5758 15.4664 5.61 3.0 3095 765 1965374
201304060029A 131.05 42.82 575.15 5.77 3.8 3066 904 1870378
201003122319A 94.627 22.9873 101.526 5.45 2.8 3060 721 1860500
200711270427A 119.7742 16.2345 40.3165 5.87 4.2 3038 618 2079611
201303042056A 157.71 50.61 44.29 5.33 2.2 3035 892 2003316
201503011024A 99.04 23.49 18.3 5.26 2.0 3026 1036 1819193
200806281254A 91.801 10.8838 9.5565 6.11 5.4 3012 662 1856306
201102221409A 143.98 22.23 106.27 5.54 2.8 2982 1000 1882023
201003080947A 144.6698 19.2589 433.2211 6.07 5.4 2927 643 1739419
201212221641A 94.8 22.29 142.17 5.49 2.8 2902 880 1759531
201311222204A 124.06 44.65 12.0 5.25 2.0 2897 1010 1793044
201105211308A 121.91 17.31 13.02 5.14 1.8 2885 996 1817464
200908122004A 126.5361 6.0058 91.8588 5.68 3.6 2876 646 1742336
200907100902A 101.1 25.54 14.86 5.15 1.8 2859 911 1742873
200807190239A 142.425 37.4718 21.7037 6.92 14.0 2853 366 2002199
201605110115A 95.12 31.87 17.1 5.5 2.8 2851 1027 1703579
200805071616A 141.9639 36.122 21.0279 6.05 5.2 2832 734 1691039
201008181628A 141.4318 12.2994 5.4235 6.18 5.8 2821 428 1810096
201311201009A 95.2 12.24 12.0 5.63 3.2 2799 1015 1677243
201006030535A 96.28 33.23 14.1458 5.32 2.6 2777 775 1679230
200910182350A 120.6079 13.7104 139.0624 5.62 3.4 2754 595 1690211
201205031019A 98.58 40.66 17.47 5.2 2.0 2747 897 1669715
200911111348A 125.6699 9.3755 7.5718 5.69 3.6 2714 622 1624844
201309020251A 133.65 42.19 454.68 5.67 3.4 2704 1008 1610218
201002260837A 126.863 6.4159 102.1878 5.69 3.6 2700 599 1687698
201612211643A 145.6 21.55 12.0 5.92 4.4 2692 1029 1524624
201301221329A 140.83 44.45 248.28 5.41 2.4 2679 887 1581629
200805202042A 108.5373 53.3206 11.4748 5.23 2.2 2659 696 1589010
201110070251A 142.21 41.65 57.41 5.3 2.2 2659 886 1811508
201107161838A 108.43 52.93 24.0 5.3 2.2 2646 1003 1613648
201801181208A 153.01 52.62 470.55 5.8 3.8 2645 1004 1531717
201601020422A 129.75 44.83 587.42 5.83 4.0 2645 1024 1584956
201310310303A 124.02 44.75 12.0 5.21 2.0 2639 995 1628548
200806041703A 139.1478 41.6007 201.7951 5.67 3.4 2625 441 1505208
201107130719A 123.74 25.01 126.82 5.22 2.0 2616 1013 1672547
201112091942A 144.6 46.93 389.99 5.77 3.6 2591 892 1514742
200805071645A 141.61 36.18 26.31 6.82 13.0 2581 362 1913150
201502021513A 124.65 14.11 22.84 5.54 2.8 2580 1036 1627295
201003190930A 110.1933 54.5743 31.3833 5.24 2.2 2576 845 1575088
201003250529A 119.855 13.831 15.3065 5.95 4.6 2554 769 1610430
201008071604A 128.32 29.48 236.0 5.34 3.4 2532 964 1475244
201001141403A 142.0953 11.3087 7.7325 5.79 3.8 2526 680 1548380
200812021231A 145.997 19.1667 114.9429 5.9 4.6 2516 657 1458519
201310150842A 123.79 9.82 12.19 5.69 3.4 2509 1009 1489432
201110040137A 140.35 26.73 439.61 5.66 3.2 2479 885 1490757
200810230921A 125.9821 5.9624 115.7054 5.64 3.4 2472 640 1503724
201308312352A 148.12 47.86 389.29 5.73 3.6 2465 877 1406029
200809220731A 140.5017 41.4685 145.1055 5.62 3.2 2459 594 1508294
201612192044A 125.89 10.17 71.71 5.42 2.6 2458 1024 1624620
201703130849A 145.31 14.32 107.62 5.56 3.0 2453 1024 1487559
201102100535A 91.76 52.22 18.4069 5.37 2.6 2428 747 1461441
